iter	Passed	Remaining
0	149	44584
1	150	22476
2	152	15092
3	154	11397
4	155	9180
5	157	7710
6	158	6653
7	160	5856
8	162	5244
9	163	4750
10	165	4350
11	167	4017
12	169	3734
13	170	3485
14	172	3271
15	173	3081
16	175	2914
17	177	2773
18	179	2648
19	181	2539
20	183	2437
21	185	2341
22	186	2249
23	188	2166
24	189	2089
25	191	2023
26	193	1957
27	195	1894
28	196	1837
29	198	1785
30	199	1734
31	201	1687
32	203	1642
33	204	1599
34	206	1561
35	207	1523
36	209	1488
37	211	1454
38	212	1423
39	214	1394
40	216	1365
41	217	1337
42	219	1310
43	221	1286
44	222	1263
45	224	1239
46	226	1216
47	227	1194
48	229	1174
49	230	1154
50	232	1135
51	234	1116
52	235	1098
53	237	1081
54	238	1064
55	240	1048
56	242	1032
57	243	1017
58	245	1003
59	247	989
60	248	975
61	250	962
62	252	949
63	254	936
64	255	924
65	257	912
66	258	900
67	260	888
68	262	877
69	263	866
70	265	856
71	267	845
72	268	835
73	270	824
74	271	814
75	273	804
76	274	795
77	276	786
78	277	777
79	279	768
80	281	760
81	282	751
82	284	743
83	285	735
84	287	727
85	289	719
86	290	711
87	292	703
88	293	696
89	295	689
90	297	682
91	298	675
92	300	668
93	301	661
94	303	655
95	305	649
96	307	643
97	309	637
98	310	631
99	312	625
100	314	619
101	315	612
102	317	606
103	318	600
104	320	594
105	321	589
106	323	583
107	325	578
108	327	573
109	328	567
110	330	562
111	331	556
112	333	551
113	334	546
114	336	541
115	338	536
116	340	532
117	342	527
118	344	523
119	345	518
120	347	514
121	349	509
122	351	505
123	353	501
124	354	496
125	356	492
126	358	488
127	360	484
128	362	480
129	364	476
130	365	472
131	367	468
132	369	464
133	371	460
134	373	456
135	375	452
136	377	448
137	378	444
138	380	440
139	382	437
140	384	433
141	386	429
142	388	426
143	390	422
144	392	419
145	394	415
146	396	412
147	397	408
148	399	405
149	402	402
150	404	398
151	406	395
152	408	392
153	410	388
154	412	385
155	414	382
156	417	379
157	419	377
158	421	374
159	423	370
160	425	367
161	428	364
162	430	361
163	432	358
164	435	355
165	437	352
166	438	349
167	441	346
168	443	343
169	445	340
170	447	337
171	449	334
172	451	331
173	454	328
174	456	325
175	458	322
176	460	319
177	462	316
178	464	313
179	466	310
180	467	307
181	469	304
182	471	301
183	474	298
184	476	295
185	478	293
186	480	290
187	482	287
188	484	284
189	487	281
190	489	279
191	491	276
192	493	273
193	495	270
194	497	267
195	499	265
196	501	262
197	503	259
198	505	256
199	507	253
200	509	251
201	512	248
202	515	246
203	517	243
204	519	240
205	521	238
206	524	235
207	526	232
208	528	230
209	531	227
210	533	224
211	535	222
212	537	219
213	539	216
214	541	214
215	543	211
216	546	208
217	548	206
218	551	203
219	553	201
220	555	198
221	557	195
222	559	193
223	562	190
224	564	188
225	567	185
226	569	183
227	571	180
228	573	177
229	576	175
230	578	172
231	581	170
232	583	167
233	585	165
234	587	162
235	590	160
236	592	157
237	594	154
238	596	152
239	598	149
240	600	146
241	602	144
242	603	141
243	605	139
244	608	136
245	610	134
246	612	131
247	614	128
248	616	126
249	618	123
250	620	121
251	622	118
252	624	116
253	626	113
254	628	110
255	630	108
256	632	105
257	634	103
258	635	100
259	637	98
260	640	95
261	642	93
262	643	90
263	645	88
264	647	85
265	648	82
266	650	80
267	651	77
268	653	75
269	655	72
270	657	70
271	659	67
272	661	65
273	663	62
274	665	60
275	667	58
276	669	55
277	671	53
278	673	50
279	674	48
280	676	45
281	678	43
282	679	40
283	681	38
284	683	35
285	685	33
286	686	31
287	688	28
288	690	26
289	691	23
290	693	21
291	695	19
292	696	16
293	698	14
294	699	11
295	701	9
296	703	7
297	704	4
298	706	2
299	708	0
